number,title,created_at,closed_at
583,Toolbox v0.10.2 installation failure in Ubuntu 16.04,2016-09-10T13:55:14Z,2016-09-13T01:14:45Z
585,views dir,2016-09-10T19:24:52Z,2016-10-28T17:09:18Z
586,empty example,2016-09-10T22:38:13Z,2016-10-28T17:08:56Z
589,Localization suggestion,2016-09-11T15:36:25Z,2017-05-06T13:50:05Z
590,Storage feature,2016-09-11T17:03:16Z,2017-01-13T20:24:57Z
595,Abort exceptions are always returned as JSON,2016-09-12T14:27:34Z,2016-11-18T11:27:34Z
596,client.json,2016-09-12T22:39:59Z,2016-10-28T17:08:26Z
598,Remove .swift-version files,2016-09-13T16:47:58Z,2016-09-19T23:46:05Z
605,Laravel,2016-09-15T07:16:21Z,2016-09-15T15:17:02Z
606,Push Notification for iOS and Web,2016-09-15T08:07:55Z,2017-01-13T20:24:36Z
611,Slow compilation,2016-09-17T17:33:32Z,2016-10-28T17:21:25Z
612,improved of resources routing,2016-09-18T02:33:54Z,2017-05-05T18:43:41Z
613,GD2/ImageMagick support for HTTP based manipulations ,2016-09-19T09:38:02Z,2017-01-13T20:35:11Z
614,"log ""something went wrong"" in production",2016-09-19T17:15:30Z,2016-11-01T15:47:02Z
615,Server Crash When Calling A Date On A Route,2016-09-19T18:21:01Z,2016-09-20T20:53:08Z
617,[Discussion] Rename main.swift to Follow File Naming Convention,2016-09-19T21:34:34Z,2016-09-19T22:34:20Z
618,NodeRepresentable in context,2016-09-19T22:54:48Z,2016-10-28T17:34:11Z
619,Update contributing guide,2016-09-20T15:11:59Z,2017-01-13T20:39:34Z
620,configurable / provider updates,2016-09-22T17:15:37Z,2016-10-04T17:41:29Z
621,Auth support multiple User types,2016-09-22T18:01:48Z,2016-12-27T19:03:42Z
622,Can't compile MySQL on Heroku.,2016-09-23T07:34:25Z,2016-09-24T20:50:40Z
624,Cannot build vapour example project in a newly created DigitalOcean droplet (Ubuntu 14.04 x64),2016-09-27T02:53:55Z,2016-09-27T16:24:11Z
625,"need driver for Oracle and MSSQLSERVER, any Python expert  out there to convert python codes to swift ?",2016-09-27T18:19:09Z,2017-05-05T18:41:39Z
627,todo series,2016-09-28T04:23:36Z,2016-10-28T15:21:12Z
629,Default Middleware non-deterministic,2016-09-29T10:26:56Z,2016-10-28T17:07:17Z
630,"Socket failed with code 54 (""Exchange full"") [readFailed]",2016-10-01T07:34:34Z,2016-10-28T15:23:08Z
631,No middleware fare lower performance?,2016-10-01T16:04:52Z,2016-11-02T17:24:42Z
634,Client Request https,2016-10-04T17:56:40Z,2016-10-31T14:58:30Z
635,Middleware and exchange full errors,2016-10-05T07:50:20Z,2017-05-05T18:44:31Z
637,Default generator does not create subgroups for controllers and models,2016-10-08T15:56:48Z,2016-10-17T16:36:03Z
638,https://vapor.github.io/ 404s,2016-10-09T06:30:00Z,2016-10-17T16:38:29Z
640,Generate static webpage method ,2016-10-10T04:56:05Z,2016-10-27T22:33:00Z
