number,title,created_at,closed_at
427,Lots of internal ktor exceptions after running CIO client for more than a few hours.,2018-06-03T19:27:00Z,2018-06-04T11:23:56Z
428,assigning the default port number will potentially break signed url,2018-06-04T13:10:04Z,2018-06-15T06:48:21Z
431,"BodyLengthIsTooLong exception is thrown when page is ""sizy""",2018-06-05T16:44:29Z,2018-09-14T07:02:42Z
432,"basic auth handler can choke when authScheme is not ""Basic""",2018-06-06T00:11:01Z,2018-06-06T00:18:38Z
434,"when building a JWK verifier, the alg field should be optional.",2018-06-07T00:00:57Z,2018-06-26T16:41:01Z
437,It should be possible to verify a JWT without setting an issuer,2018-06-08T05:18:08Z,2018-06-26T16:41:18Z
439,https handshakeFailure with CIO HttpClient,2018-06-08T15:33:59Z,2018-06-14T07:47:34Z
441,Client - NativePRNGNonBlocking SecureRandom not available on Windows,2018-06-09T12:01:22Z,2018-09-14T07:03:25Z
442,Get 415 Unsupported Media Type when calling call.receiveOrNull() with empty body,2018-06-10T23:57:15Z,2018-06-27T08:20:09Z
444,NoSuchMethodError when trying to use Kotlinx.html's call.respondHtml() ,2018-06-15T15:57:15Z,2018-06-25T11:32:06Z
446,Exception close cause not propagated on other end of websocket connection,2018-06-18T14:58:21Z,2018-10-10T05:35:37Z
448,HttpClient: Support POST calls with MultiPart data,2018-06-21T16:29:46Z,2018-08-03T14:44:27Z
449,n,2018-06-21T17:18:45Z,2018-06-21T18:56:29Z
450,[client]: Sendig a get request result in IncompatibleClassChangeError,2018-06-22T07:52:16Z,2018-06-27T08:21:30Z
451,Ktor with Apache Http Server?,2018-06-25T16:49:13Z,2018-06-25T17:06:59Z
454,RawSockets+TLS: ClosedReceiveChannelException: EOF: one byte required,2018-06-28T13:48:29Z,2018-07-26T06:46:39Z
459,TypeInfo should be a data class,2018-07-02T16:19:00Z,2018-07-13T10:10:43Z
460,Netty timeout,2018-07-03T20:29:23Z,2019-02-11T07:25:48Z
462,WebSocket outbound channel blocking on send(),2018-07-05T03:59:01Z,2018-11-07T06:11:27Z
463,"Ktor how to integrate data persistence layer framework, such as integration mybatis",2018-07-05T06:07:14Z,2018-07-06T23:29:05Z
465,Ktor client has no access to useful `OutgoingContent` implementations,2018-07-05T16:50:11Z,2018-09-18T22:28:20Z
468,"ConcurrentModificationException inside ktor Routing.kt, line 121",2018-07-06T09:19:43Z,2018-08-14T13:02:31Z
471,Creating TypeInfo with class defined in method scope throws GenericSignatureFormatError,2018-07-06T16:30:50Z,2018-07-25T06:44:49Z
472,Upload progress,2018-07-07T18:35:08Z,2018-07-09T05:36:53Z
474,Implementing micrometer.io metrics in Ktor,2018-07-10T13:56:44Z,2019-04-03T11:18:40Z
475,Unable to transform request,2018-07-11T12:05:29Z,2018-07-11T21:39:39Z
476,ConditionalHeaders does not send 304 when If-Modified-Since equals Last-Modified unless server time zone is GMT,2018-07-13T12:52:47Z,2018-12-24T17:45:05Z
477,Add JacksonSerializer for client JsonFeature,2018-07-14T07:40:55Z,2018-08-14T12:59:23Z
479,Missing Ktor HTTP Client For Linux,2018-07-16T03:24:17Z,2019-01-11T07:49:06Z
481,respondHtml produces empty response on tomcat,2018-07-17T12:56:41Z,2018-08-30T11:22:34Z
483,Subroutes with parameters can't be handled ,2018-07-18T10:31:06Z,2018-07-18T12:16:03Z
484,No configuration setting found for key 'ktor',2018-07-18T11:56:09Z,2018-07-18T13:52:16Z
485,Test engine mangles PartData.FileItem contents,2018-07-18T14:19:04Z,2018-08-29T20:54:08Z
487,Tomcat Deploy,2018-07-19T05:10:04Z,2019-02-14T13:30:05Z
