number,created_at,closed_at
30398,2019-02-27T16:54:16Z,2019-03-04T15:50:13Z
30400,2019-02-27T19:33:45Z,2019-04-07T12:23:12Z
30402,2019-02-27T22:12:09Z,2019-08-09T06:48:25Z
30404,2019-02-28T06:43:33Z,2019-08-06T06:46:59Z
30411,2019-02-28T17:07:50Z,2019-08-22T09:16:58Z
30412,2019-02-28T22:53:19Z,2019-03-04T16:08:21Z
30415,2019-03-01T09:25:30Z,2019-05-26T12:56:28Z
30420,2019-03-01T12:45:43Z,2019-03-20T07:44:07Z
30421,2019-03-01T14:27:05Z,2019-12-15T10:12:44Z
30424,2019-03-02T03:36:08Z,2019-03-11T18:24:23Z
30425,2019-03-02T03:38:56Z,2019-03-05T06:39:31Z
30426,2019-03-03T02:01:55Z,2019-03-20T08:07:09Z
30428,2019-03-03T12:26:54Z,2020-01-07T19:25:09Z
30432,2019-03-04T08:04:48Z,2019-10-28T21:57:26Z
30443,2019-03-04T16:45:14Z,2019-03-09T19:33:24Z
30452,2019-03-05T15:29:35Z,2019-03-07T11:41:58Z
30453,2019-03-05T16:29:41Z,2019-03-30T07:46:20Z
30455,2019-03-05T17:57:51Z,2019-03-09T19:39:50Z
30456,2019-03-05T20:15:05Z,2019-03-26T10:00:04Z
30458,2019-03-06T02:31:34Z,2019-03-12T08:08:10Z
30459,2019-03-06T07:19:11Z,2019-03-14T11:43:08Z
30460,2019-03-06T10:37:43Z,2019-06-22T04:11:40Z
30463,2019-03-06T12:58:03Z,2019-04-06T12:57:19Z
30465,2019-03-06T15:39:02Z,2019-12-02T10:29:13Z
30467,2019-03-06T20:41:41Z,2019-03-10T09:58:57Z
30470,2019-03-07T02:11:24Z,2019-03-22T08:57:25Z
30471,2019-03-07T03:45:09Z,2019-03-07T06:52:39Z
30473,2019-03-07T10:07:06Z,2019-03-08T10:41:36Z
30475,2019-03-07T11:57:31Z,2019-03-22T08:57:34Z
30476,2019-03-07T12:01:52Z,2020-05-29T15:32:24Z
30478,2019-03-07T14:15:20Z,2019-03-09T09:16:20Z
30493,2019-03-08T16:47:14Z,2019-04-07T07:23:52Z
30502,2019-03-09T18:27:36Z,2019-06-05T18:05:15Z
30503,2019-03-09T19:49:48Z,2019-03-09T20:13:06Z
30516,2019-03-11T11:14:20Z,2019-03-11T11:29:44Z
30521,2019-03-11T17:58:30Z,2020-02-14T10:12:15Z
30524,2019-03-11T19:39:46Z,2019-03-13T15:25:02Z
30529,2019-03-12T02:04:34Z,2019-09-01T14:38:01Z
30531,2019-03-12T09:42:46Z,2019-03-12T16:42:23Z
30536,2019-03-12T14:50:19Z,2019-04-06T12:57:05Z
30540,2019-03-12T18:42:54Z,2019-05-01T17:27:51Z
30543,2019-03-13T02:49:01Z,2019-03-13T03:42:59Z
30544,2019-03-13T07:17:40Z,2019-03-13T07:25:52Z
30546,2019-03-13T13:49:59Z,2019-03-13T16:28:05Z
30554,2019-03-13T17:10:36Z,2019-03-13T17:10:55Z
30558,2019-03-13T20:03:37Z,2019-04-06T12:43:52Z
30562,2019-03-14T08:51:06Z,2019-07-08T14:41:18Z
30570,2019-03-14T15:29:50Z,2019-03-15T10:46:43Z
30571,2019-03-14T15:37:54Z,2019-03-17T16:03:57Z
30573,2019-03-14T17:13:00Z,2019-03-20T11:35:02Z
30574,2019-03-14T20:32:48Z,2019-03-22T08:59:56Z
30575,2019-03-15T05:52:42Z,2019-03-15T10:44:06Z
30578,2019-03-15T11:04:25Z,2019-03-20T12:05:44Z
30582,2019-03-15T19:35:47Z,2019-03-18T20:13:32Z
30591,2019-03-18T08:38:14Z,2019-03-19T07:51:10Z
30599,2019-03-19T08:14:09Z,2020-04-24T09:12:20Z
30601,2019-03-19T09:26:34Z,2019-03-19T11:13:43Z
30603,2019-03-19T12:53:35Z,2019-03-27T12:32:27Z
30613,2019-03-20T11:47:46Z,2019-03-20T13:58:40Z
30614,2019-03-20T12:57:49Z,2019-03-20T20:22:15Z
30617,2019-03-20T16:48:59Z,2020-04-20T08:52:12Z
30619,2019-03-20T21:11:08Z,2020-03-02T14:22:49Z
30622,2019-03-21T02:36:56Z,2019-03-21T09:52:09Z
30623,2019-03-21T07:29:18Z,2019-04-06T15:57:38Z
30624,2019-03-21T07:35:17Z,2019-03-21T08:25:40Z
30627,2019-03-21T14:01:51Z,2019-03-26T11:10:32Z
30631,2019-03-21T18:38:09Z,2019-03-23T14:33:25Z
30634,2019-03-21T19:04:55Z,2019-03-28T04:10:53Z
30635,2019-03-22T02:42:48Z,2019-03-24T13:37:44Z
30636,2019-03-22T04:00:39Z,2019-04-05T07:54:59Z
30637,2019-03-22T05:38:01Z,2019-03-23T15:03:50Z
30638,2019-03-22T05:38:08Z,2019-03-26T10:32:18Z
30644,2019-03-22T13:52:21Z,2019-03-27T08:04:13Z
30647,2019-03-22T14:53:32Z,2020-02-04T14:37:08Z
30649,2019-03-22T16:28:09Z,2019-03-31T16:33:55Z
30655,2019-03-23T12:04:21Z,2019-03-27T08:36:30Z
30656,2019-03-23T12:35:46Z,2019-04-06T16:43:47Z
30663,2019-03-24T10:46:23Z,2019-08-06T06:51:00Z
30665,2019-03-24T11:41:08Z,2019-06-22T09:33:32Z
30669,2019-03-24T14:41:29Z,2019-04-06T18:10:55Z
30670,2019-03-24T14:59:33Z,2019-04-01T14:50:30Z
30675,2019-03-25T00:11:09Z,2019-03-28T06:29:24Z
30682,2019-03-25T11:46:04Z,2019-06-26T07:15:52Z
30684,2019-03-25T12:11:38Z,2019-04-05T07:54:50Z
30685,2019-03-25T12:16:14Z,2019-03-25T21:42:34Z
30686,2019-03-25T12:48:59Z,2019-03-25T13:39:33Z
30689,2019-03-25T15:50:12Z,2019-04-18T06:26:41Z
30694,2019-03-25T22:33:48Z,2019-07-22T13:40:34Z
30695,2019-03-25T22:39:35Z,2019-03-26T09:25:54Z
30698,2019-03-26T02:42:44Z,2019-03-26T05:12:50Z
30700,2019-03-26T07:58:04Z,2019-03-26T12:00:34Z
30701,2019-03-26T08:48:24Z,2019-04-08T14:25:12Z
30703,2019-03-26T10:10:03Z,2020-02-04T14:24:01Z
30705,2019-03-26T12:18:42Z,2019-03-26T15:51:29Z
30709,2019-03-26T13:58:59Z,2019-03-27T06:23:23Z
30710,2019-03-26T14:12:35Z,2019-03-27T15:11:17Z
30712,2019-03-26T15:48:56Z,2019-07-08T14:38:40Z
30713,2019-03-26T16:16:00Z,2019-03-26T16:17:47Z
30721,2019-03-27T08:56:42Z,2019-04-27T09:37:44Z
30723,2019-03-27T09:37:22Z,2019-03-30T07:27:29Z
30724,2019-03-27T09:41:10Z,2019-03-27T11:51:54Z
30725,2019-03-27T09:47:24Z,2019-04-06T16:35:04Z
30726,2019-03-27T10:10:45Z,2020-02-07T08:30:29Z
